ID,Artist,Song,JSI Genre,Genre
1,Katy Perry,Roar,Pop,"Pop, Music"
2,Eminem,Berzerk,Hip Hop,"Hip-Hop/Rap, Music"
3,Jay Z Feat. Justin Timberlake,Holy Grail,Hip Hop,"Hip-Hop/Rap, Music, Rap, East Coast Rap, Hardcore Rap"
4,Applause,Lady Gaga,Pop,"Pop, Music"
5,Avicii,Wake Me Up,Dance,"Dance, Music, Electronic"
6,Miley Cyrus,Wrecking Ball,Pop,"Pop, Music, Rock"
7,One Direction,Best Song Ever,Pop,"Pop, Music, Soundtrack, Rock"
8,Macklemore & Ryan Lewis Feat. Ray Dalton,Can't Hold Us,Hip Hop,"Hip-Hop/Rap, Music, Rap, Alternative Rap, West Coast Rap"
9,Calvin Harris Feat. Ellie Goulding,I Need Your Love,Dance,"Dance, Musik"
10,Robin Thicke Feat. Kendrick Lamar,Give It 2 U,Pop,"Pop, Music"
11,Justin Timberlake,Take Back The Night,Pop,"Pop, Music"
12,Sage The Gemini Feat. IamSu,Gas Pedal,Hip Hop,"Hip-Hop/Rap, Music"
13,Jason Aldean,Night Train,Country,"Country, Music, Contemporary Country"
14,Macklemore & Ryan Lewis Feat. Wanz,Thrift Shop,Hip Hop,Hip-Hop/Rap
15,Big Sean Feat. Lil Wayne & Jhene Aiko,Beware,Hip Hop,Hip-Hop/Rap
16,Sara Bareilles,Brave,Pop,"Pop, Music"
17,Luke Bryan,Crash My Party,Country,"Country, Music, Contemporary Country"
18,Billy Currington,Hey Girl,Country,"Country, Music"
19,Chris Brown Feat. Nicki Minaj,Love More,R & B,"R&B/Soul, Music"
20,Ciara,Body Party,R & B,R&B/Soul
21,One Republic,Counting Stars,Pop,Pop
22,Bruno Mars,Gorilla,Pop,"Pop, Music, R&B/Soul, Rock, Contemporary R&B"
23,Tim McGraw,Southern Girl,Country,Country
24,Sage The Gemini,Red Nose,Country,Country
25,B.o.B Feat. 2 Chainz,HeadBand,Hip Hop,"Hip-Hop/Rap, Music"
26,2 Chainz Feat. Pharrell,Feds Watching,Hip Hop,"Hip-Hop/Rap, Music"
27,Jay Z,Tom Ford,Hip Hop,"Hip-Hop/Rap, Music, Rap, Hardcore Rap, East Coast Rap"
28,Prince Royce,Darte Un Beso,Pop,"Salsa y Tropical, Music, Latino"
29,Enrique Iglesias Feat. Romeo Santos,Loco,Pop,"Pop Latino, Music, Latino"
30,Avril Lavigne,Rock N Roll,Pop,Pop
31,Karmin,Acapella,Pop,"Pop, Music, Rock"
32,Ellie Goulding,Burn,Pop,"Pop, Music"
33,MKTO,Classic,Pop,"Pop, Music"
34,Nelly,Hey Porsche,Hip Hop,"Hip-Hop/Rap, Music, Rap"
35,Ludacris feat. David Guetta & Usher,Rest Of My Life,Pop,"Pop, Music, Rock, Dance, Electronic"
36,Ke$ha,C'mon,Pop,Pop
37,One Direction,Kiss You,Pop,Pop
38,Matthew Koma,One Night,Pop,"Pop, Music, Rock"
39,Classified,That's What I Do,Hip Hop,Hip-Hop/Rap
40,One Direction,Live While We're Young,Pop,"Pop, Music, Rock"
41,Ke$sha,Die Young,Pop,Pop
42,Pitbull feat. TJR ,Don't Stop The Party,Pop,Pop
43,Calvin Harris feat. Florence Welch,Sweet Nothing,Dance,"Dance, Music"
44,Ed Sheeran,The A Team,Pop,"Singer/Songwriter, Music, Rock, Adult Alternative"
45,P!NK,Try,Pop,"Pop, Music, R&B/Soul, Dance, Rock, Pop/Rock, Teen Pop, Contemporary R&B, Electronic"
46,One Republic,Feel Again,Rock,Rock
47,Born Cages,Don't Look Back,Rock,"Alternative, Music"
48,Black Veil Brides,In The End,Rock,"Rock, Music, Hard Rock, Metal, Hair Metal"
49,Naughty Boy Feat. Sam Smith,La La La,Pop,"Pop, Musik"
50,Avicii,You Make Me,Dance,"Dance, Music"
51,John Newman,Love Me Again,Pop,"Pop, Music"
52,Envy,Am I Wrong,Pop,"Pop, Music"
53,Martin Garrix,Animals - Original Mix,Dance,"Dance, Music"
54,Calvin Harris feat. Ayah Marar,Thinking About You,Dance,"Dance, Music"
55,Niello Feat. Phantomen,Legenden,Pop,"Pop, Musik, Hiphop/rapp"
56,Medina,Miss Decibel,Hip Hop,"Hip-Hop/Rap, Music"
57,Sean Paul,Other Side Of Love,Pop,"Pop, Music, Rock"
58,Daft Punk Feat. Pharrell,Lose Yourself to Dance,Pop,"Pop, Music, Rock, Electronic, Dance, Electronica, House"
59,Arctic Monkeys,Do I Wanna Know?,Rock,"Alternative, Music"
60,will.i.am Feat. Britney Spears,Scream & Shout,Pop,"Pop, Music, Dance, R&B/Soul, Electronic, Rock, Hip-Hop/Rap, Rap, Contemporary R&B"
61,Skrillex Feat. Sirah,Bangarang,Dance,"Dance, Music, Electronic"
62,Daft Punk Feat. Julian Casablancas,Instant Crush,Pop,"Pop, Music, Rock, Electronic, Dance, Electronica, House"
63,Macklemore Feat. Ziggy Stardust,And We Danced,Hip Hop,"Hip-Hop/Rap, Music"
64,Rudimental Feat. Ella Eyre,Waiting All Night, Dance, Dance
65,Evanescence,Bring Me to Life,Rock,Alternative
66,Cher Lloyd feat. T.I,I Wish,Pop,"Pop, Music"
67,Ariana Grande & Nathan Sykes,Almost Is Never Enough,Pop,"Pop, Music"
68,Coldplay,Atlas,Rock,"Alternative, Music, Rock, Adult Alternative, Indie Rock"
69,Blake Shelton feat. Pistol Annies & Friends,Boys 'Round Here,Country,Country
70,Sara Evans,Slow Me Down,Country,"Country, Music"
71,Flux Pavilion,I Can't Stop,Dance,"Dance, Music, Electronic"
72,Cole Swindell,Chillin' It,Country,"Country, Music"
73,Say Something,A Great Big World,Pop,"Pop, Music"
74,NSYNC,Bye Bye Bye,Pop,"Pop, Music, World, Celtic, Singer/Songwriter, Traditional Folk, Electronic, Contemporary Folk, Europe, Teen Pop, Adult Contemporary, Dance"
75,Mandisa,Overcomer,Pop,"Christian & Gospel, Music, CCM"
76,Ed Sheeran,Lego House,Rock,"Singer/Songwriter, Music, Rock, Adult Alternative"
77,Maroon 5,One More Night,Pop,Pop
78,Katy Perry,Wide Awake,Pop,Pop
79,Bruno Mars,It Will Rain,Pop,"Singer/Songwriter, Music, Pop"
80,Adele,Someone Like You,Pop,Pop
81,Jessie J,Domino,Pop,"Pop, Music, Rock"
82,Kelly Clarkson,People Like Us,Pop,Pop
83,Justin Bieber,Beauty and a Beat,Pop,"Pop, Music, Dance, Vocal, Teen Pop, Rock"
84,Hot Chelle Rae,Hung Up,Pop,"Pop, Music, Rock"
85,Neon Trees,Everybody Talks,Rock,"Alternative, Music,Rock, Adult Alternative"
86,Usher,Yeah!,Pop,"Pop, Music, Electronic, R&B/Soul, Hip-Hop/Rap, Hip-Hop, Dance"
87,Gym Class Heroes,Ass Back Home,Dance,"Dance, Music, Electronic"
88,Psy,Gangnam Style,Pop,"Pop, Music, K-Pop, World, Rock"
