id,artist,name,genre,secondary_genres,tier
1,Katy Perry,Roar,Pop,"Pop, Music",1
2,Eminem,Berzerk,Hip Hop,"Hip-Hop/Rap, Music",1
3,Jay Z Feat. Justin Timberlake,Holy Grail,Hip Hop,"Hip-Hop/Rap, Music, Rap, East Coast Rap, Hardcore Rap",1
4,Applause,Lady Gaga,Pop,"Pop, Music",1
5,Avicii,Wake Me Up,Dance,"Dance, Music, Electronic",1
6,Miley Cyrus,Wrecking Ball,Pop,"Pop, Music, Rock",1
7,One Direction,Best Song Ever,Pop,"Pop, Music, Soundtrack, Rock",1
8,Macklemore & Ryan Lewis Feat. Ray Dalton,Can't Hold Us,Hip Hop,"Hip-Hop/Rap, Music, Rap, Alternative Rap, West Coast Rap",1
9,Calvin Harris Feat. Ellie Goulding,I Need Your Love,Dance,"Dance, Musik",1
10,Robin Thicke Feat. Kendrick Lamar,Give It 2 U,Pop,"Pop, Music",1
11,Justin Timberlake,Take Back The Night,Pop,"Pop, Music",1
12,Sage The Gemini Feat. IamSu,Gas Pedal,Hip Hop,"Hip-Hop/Rap, Music",1
13,Jason Aldean,Night Train,Country,"Country, Music, Contemporary Country",1
14,Macklemore & Ryan Lewis Feat. Wanz,Thrift Shop,Hip Hop,Hip-Hop/Rap,1
15,Big Sean Feat. Lil Wayne & Jhene Aiko,Beware,Hip Hop,Hip-Hop/Rap,1
16,Sara Bareilles,Brave,Pop,"Pop, Music",1
17,Luke Bryan,Crash My Party,Country,"Country, Music, Contemporary Country",1
18,Billy Currington,Hey Girl,Country,"Country, Music",1
19,Chris Brown Feat. Nicki Minaj,Love More,R & B,"R&B/Soul, Music",1
20,Ciara,Body Party,R & B,R&B/Soul,1
21,One Republic,Counting Stars,Pop,Pop,1
22,Bruno Mars,Gorilla,Pop,"Pop, Music, R&B/Soul, Rock, Contemporary R&B",1
23,Tim McGraw,Southern Girl,Country,Country,1
24,Sage The Gemini,Red Nose,Country,Country,1
25,B.o.B Feat. 2 Chainz,HeadBand,Hip Hop,"Hip-Hop/Rap, Music",1
26,2 Chainz Feat. Pharrell,Feds Watching,Hip Hop,"Hip-Hop/Rap, Music",1
27,Jay Z,Tom Ford,Hip Hop,"Hip-Hop/Rap, Music, Rap, Hardcore Rap, East Coast Rap",1
28,Prince Royce,Darte Un Beso,Pop,"Salsa y Tropical, Music, Latino",1
29,Enrique Iglesias Feat. Romeo Santos,Loco,Pop,"Pop Latino, Music, Latino",1
30,Avril Lavigne,Rock N Roll,Pop,Pop,1
31,Karmin,Acapella,Pop,"Pop, Music, Rock",1
32,Ellie Goulding,Burn,Pop,"Pop, Music",1
33,MKTO,Classic,Pop,"Pop, Music",1
34,Nelly,Hey Porsche,Hip Hop,"Hip-Hop/Rap, Music, Rap",1
35,Ludacris feat. David Guetta & Usher,Rest Of My Life,Pop,"Pop, Music, Rock, Dance, Electronic",1
36,Ke$ha,C'mon,Pop,Pop,1
37,One Direction,Kiss You,Pop,Pop,1
38,Matthew Koma,One Night,Pop,"Pop, Music, Rock",1
39,Classified,That's What I Do,Hip Hop,Hip-Hop/Rap,1
40,One Direction,Live While We're Young,Pop,"Pop, Music, Rock",1
41,Ke$sha,Die Young,Pop,Pop,1
42,Pitbull feat. TJR ,Don't Stop The Party,Pop,Pop,1
43,Calvin Harris feat. Florence Welch,Sweet Nothing,Dance,"Dance, Music",1
44,Ed Sheeran,The A Team,Pop,"Singer/Songwriter, Music, Rock, Adult Alternative",1
45,P!NK,Try,Pop,"Pop, Music, R&B/Soul, Dance, Rock, Pop/Rock, Teen Pop, Contemporary R&B, Electronic",1
46,One Republic,Feel Again,Rock,Rock,1
47,Born Cages,Don't Look Back,Rock,"Alternative, Music",1
48,Black Veil Brides,In The End,Rock,"Rock, Music, Hard Rock, Metal, Hair Metal",1
49,Naughty Boy Feat. Sam Smith,La La La,Pop,"Pop, Musik",1
50,Avicii,You Make Me,Dance,"Dance, Music",1
51,John Newman,Love Me Again,Pop,"Pop, Music",1
52,Envy,Am I Wrong,Pop,"Pop, Music",1
53,Martin Garrix,Animals - Original Mix,Dance,"Dance, Music",1
54,Calvin Harris feat. Ayah Marar,Thinking About You,Dance,"Dance, Music",1
55,Niello Feat. Phantomen,Legenden,Pop,"Pop, Musik, Hiphop/rapp",1
56,Medina,Miss Decibel,Hip Hop,"Hip-Hop/Rap, Music",1
