id,Artist,name,genre,"secondary_genres",Tier
10001,3OH!3,Don't Trust Me,Pop,"Alternative, Music, Hip-Hop/Rap, Rap, Pop, Underground Rap, Dance, Electronic, Alternative Rap",1
10002,Adele,Rolling In The Deep,Pop,"Pop, Music, R&B/Soul, Neo-Soul, Rock, Adult Alternative, Soul",1
10003,A-Ha,Take On Me,Pop,"Pop, Music, Rock, Alternative, New Wave, Pop/Rock",1
10004,AKON,I'M SO PAID,R & B,"R&B/Soul, Music, Rock",1
10005,Alabama,Feels So Right,Country,"Country, Music, Honky Tonk, Contemporary Country",1
10006,Alabama,Mountain Music,Country,"Country, Music, Rock, Urban Cowboy, Contemporary Country, Honky Tonk, Southern Rock",1
10007,Alan Jackson,Country Boy,Country,"Country, Music, Contemporary Country",1
10008,Alan Jackson,Little Bitty,Country,"Country, Music, Contemporary Country, Urban Cowboy",1
10009,Alan Jackson,Pop A Top,Country,"Country, Music, Contemporary Country, Urban Cowboy",1
10010,Alesha Dixon,Breathe Slow,R & B,"Pop, Music, Dance, Rock, R&B/Soul",1
10011,Alicia Keys,A Woman's Worth,R & B,"R&B/Soul, Music, Rock, Soul, Neo-Soul, Contemporary R&B",1
10012,,Fallin',R & B,"R&B/Soul, Music, Rock, Soul, Neo-Soul, Contemporary R&B",1
10013,Alicia Keys,I'm Ready,R & B,"R&B/Soul, Music, Contemporary R&B, Rock, Adult Alternative, Soul, Neo-Soul, Hip-Hop/Rap, Rap",1
10014,Alicia Keys,No One,R & B,"R&B/Soul, Music, Rock, Soul, Contemporary R&B, Neo-Soul, Adult Alternative",1
10015,ALICIA KEYS,SUPER WOMAN,R & B,"R&B/Soul, Music, Rock, Soul, Contemporary R&B, Neo-Soul, Adult Alternative",1
10016,Jack White & Alicia Keys,Another Way To Die,R & B,"Soundtrack, Music",1
10017,Amy Winehouse,Back To Black,R & B,"R&B/Soul, Music, Soul, Neo-Soul, Contemporary R&B, Rock",1
10018,Amy Winehouse,Rehab,R & B,"R&B/Soul, Music, Soul, Neo-Soul, Contemporary R&B, Rock",1
10019,B.O.B.,Nothin' On You,Pop,"Hip-Hop/Rap, Music, Rap, Dirty South, Hardcore Rap, Alternative Rap, Rock",1
10020,Ben E. King,Stand By Me,Pop,"Rock, Music, Jazz, R&B/Soul, Soul, Pop, Pop/Rock",1
10021,Beyonce,Single Ladies,R & B,"Pop, Music, Rock, R&B/Soul, Contemporary R&B, Adult Contemporary",1
10022,BEYONCE,SWEET DREAMS,R & B,"Pop, Music, Rock, R&B/Soul, Contemporary R&B, Adult Contemporary",1
10023,Beyonce ,Deja Vu,R & B,"Pop, Music, Rock, R&B/Soul, Contemporary R&B, Adult Contemporary",1
10024,Billy Idol,Mony Mony,Rock,"Rock, Music, Alternative, New Wave, Arena Rock, Hard Rock, Pop, Pop/Rock",1
10025,Meredith Brooks,Bitch,Rock,"Rock, Music, Singer/Songwriter, Adult Alternative, Pop, Pop/Rock",1
10026,Blink 182,All The Small Things,Rock,"Rock, Music, Alternative, Punk, Adult Alternative",1
10027,Blur,Song 2,Rock,"Rock, Music, Pop, Pop/Rock, Adult Alternative, Britpop",1
10028,Boys Like Girls,Love Drunk,Pop,"Alternative, Music",1
10029,Boyz II Men,On Bended Knee,Pop,"R&B/Soul, Music, Electronic, Contemporary R&B, Pop, Adult Contemporary, Dance, Rock",1
10030,Boyz II Men,Water Runs Dry,Pop,"R&B/Soul, Music, Electronic, Contemporary R&B, Pop, Adult Contemporary, Dance, Rock",1
10031,Brooks & Dunn,Boot Scootin' Boogie,Country,"Country, Music, Contemporary Country, Contemporary Bluegrass, Honky Tonk, Urban Cowboy",1
10032,Brooks & Dunn,Neon Moon,Country,"Country, Music, Contemporary Country, Contemporary Bluegrass, Honky Tonk, Urban Cowboy",1
10033,Brooks & Dunn,Only In America,Country,"Country, Music, Contemporary Country, Contemporary Bluegrass, Honky Tonk, Urban Cowboy",1
10034,Brooks & Dunn,Red Dirt Road,Country,"Country, Music, Contemporary Country, Contemporary Bluegrass, Honky Tonk, Urban Cowboy",1
10035,Bruno Mars,Grenade,R & B,"Pop, Music, R&B/Soul, Pop/Rock, Rock",1
10036,Bruno Mars,Just The Way You Are,R & B,"Pop, Music, R&B/Soul, Pop/Rock, Rock",1
10037,Celine Dion,The Power Of Love,Pop,"Pop, Music",1
10038,Chingy feat. Amerie,Fly Like Me,Hip Hop,"Hip-Hop/Rap, Music, Dirty South",1
10039,Christina Aguilera,Lady Marmalade,Pop,"Soundtrack, Music",1
10040,Christina Aguilera,What A Girl Wants,Pop,"Pop, Music, Pop/Rock, Rock, Adult Alternative, Dance, Teen Pop, Adult Contemporary",1
10041,Cobra Starship,Good Girls Go Bad,Pop,"Alternative, Music, Soundtrack, Soundtrack, Punk, Rock, Adult Alternative, Dance",1
10042,Colbie Caillat,Bubbly,Pop,"Pop, Music, Pop/Rock, Rock, Adult Alternative, Singer/Songwriter, Contemporary Singer/Songwriter",1
10043,Colbie Caillat,Fallin' For You,Pop,"Pop, Music, Singer/Songwriter, Contemporary Singer/Songwriter, Pop/Rock, Rock, Adult Alternative",1
10044,Colby O'Donis featuring Akon,What You Got,R & B,"R&B/Soul, Music, Pop, Teen Pop, Soundtrack, Rock, Contemporary R&B",1
