id,Artist,name,genre,secondary_genres,tier
1,Katy Perry,Roar,Pop,"Pop, Music",2
2,Eminem,Berzerk,Hip Hop,"Hip-Hop/Rap, Music",2
3,Jay Z Feat. Justin Timberlake,Holy Grail,Hip Hop,"Hip-Hop/Rap, Music, Rap, East Coast Rap, Hardcore Rap",2
4,Lady Gaga,Applause,Pop,"Pop, Music",2
5,Avicii,Wake Me Up,Dance,"Dance, Music, Electronic",2
6,Miley Cyrus,Wrecking Ball,Pop,"Pop, Music, Rock",2
7,One Direction,Best Song Ever,Pop,"Pop, Music, Soundtrack, Rock",2
8,Macklemore & Ryan Lewis Feat. Ray Dalton,Can't Hold Us,Hip Hop,"Hip-Hop/Rap, Music, Rap, Alternative Rap, West Coast Rap",2
9,Calvin Harris Feat. Ellie Goulding,I Need Your Love,Dance,"Dance, Musik",2
10,Robin Thicke Feat. Kendrick Lamar,Give It 2 U,Pop,"Pop, Music",2
11,Justin Timberlake,Take Back The Night,Pop,"Pop, Music",2
12,Sage The Gemini Feat. IamSu,Gas Pedal,Hip Hop,"Hip-Hop/Rap, Music",2
13,Jason Aldean,Night Train,Country,"Country, Music, Contemporary Country",2
14,Macklemore & Ryan Lewis Feat. Wanz,Thrift Shop,Hip Hop,Hip-Hop/Rap,2
15,Big Sean Feat. Lil Wayne & Jhene Aiko,Beware,Hip Hop,Hip-Hop/Rap,2
16,Sara Bareilles,Brave,Pop,"Pop, Music",2
17,Luke Bryan,Crash My Party,Country,"Country, Music, Contemporary Country",2
18,Billy Currington,Hey Girl,Country,"Country, Music",2
19,Chris Brown Feat. Nicki Minaj,Love More,R & B,"R&B/Soul, Music",2
20,Ciara,Body Party,R & B,R&B/Soul,2
21,One Republic,Counting Stars,Pop,Pop,2
22,Bruno Mars,Gorilla,Pop,"Pop, Music, R&B/Soul, Rock, Contemporary R&B",2
23,Tim McGraw,Southern Girl,Country,Country,2
24,Sage The Gemini,Red Nose,Country,Country,2
25,B.o.B Feat. 2 Chainz,HeadBand,Hip Hop,"Hip-Hop/Rap, Music",2
26,2 Chainz Feat. Pharrell,Feds Watching,Hip Hop,"Hip-Hop/Rap, Music",2
27,Jay Z,Tom Ford,Hip Hop,"Hip-Hop/Rap, Music, Rap, Hardcore Rap, East Coast Rap",2
28,Prince Royce,Darte Un Beso,Pop,"Salsa y Tropical, Music, Latino",2
29,Enrique Iglesias Feat. Romeo Santos,Loco,Pop,"Pop Latino, Music, Latino",2
30,Avril Lavigne,Rock N Roll,Pop,Pop,2
31,Karmin,Acapella,Pop,"Pop, Music, Rock",2
32,Ellie Goulding,Burn,Pop,"Pop, Music",2
33,MKTO,Classic,Pop,"Pop, Music",2
34,Nelly,Hey Porsche,Hip Hop,"Hip-Hop/Rap, Music, Rap",2
35,Ludacris feat. David Guetta & Usher,Rest Of My Life,Pop,"Pop, Music, Rock, Dance, Electronic",2
36,Ke$ha,C'mon,Pop,Pop,2
37,One Direction,Kiss You,Pop,Pop,2
38,Matthew Koma,One Night,Pop,"Pop, Music, Rock",2
39,Classified,That's What I Do,Hip Hop,Hip-Hop/Rap,2
40,One Direction,Live While We're Young,Pop,"Pop, Music, Rock",2
41,Ke$sha,Die Young,Pop,Pop,2
42,Pitbull feat. TJR ,Don't Stop The Party,Pop,Pop,2
43,Calvin Harris feat. Florence Welch,Sweet Nothing,Dance,"Dance, Music",2
44,Ed Sheeran,The A Team,Pop,"Singer/Songwriter, Music, Rock, Adult Alternative",2
45,P!NK,Try,Pop,"Pop, Music, R&B/Soul, Dance, Rock, Pop/Rock, Teen Pop, Contemporary R&B, Electronic",2
46,One Republic,Feel Again,Rock,Rock,2
47,Born Cages,Don't Look Back,Rock,"Alternative, Music",2
48,Black Veil Brides,In The End,Rock,"Rock, Music, Hard Rock, Metal, Hair Metal",2
49,Naughty Boy Feat. Sam Smith,La La La,Pop,"Pop, Musik",2
50,Avicii,You Make Me,Dance,"Dance, Music",2
51,John Newman,Love Me Again,Pop,"Pop, Music",2
52,Envy,Am I Wrong,Pop,"Pop, Music",2
53,Martin Garrix,Animals ,Dance,"Dance, Music",2
54,Calvin Harris feat. Ayah Marar,Thinking About You,Dance,"Dance, Music",2
55,Niello Feat. Phantomen,Legenden,Pop,"Pop, Musik, Hiphop/rapp",2
56,Medina,Miss Decibel,Hip Hop,"Hip-Hop/Rap, Music",2
57,Sean Paul,Other Side Of Love,Pop,"Pop, Music, Rock",2
58,Daft Punk Feat. Pharrell,Lose Yourself to Dance,Pop,"Pop, Music, Rock, Electronic, Dance, Electronica, House",2
59,Arctic Monkeys,Do I Wanna Know?,Rock,"Alternative, Music",2
60,will.i.am Feat. Britney Spears,Scream & Shout,Pop,"Pop, Music, Dance, R&B/Soul, Electronic, Rock, Hip-Hop/Rap, Rap, Contemporary R&B",2
61,Skrillex Feat. Sirah,Bangarang,Dance,"Dance, Music, Electronic",2
62,Daft Punk Feat. Julian Casablancas,Instant Crush,Pop,"Pop, Music, Rock, Electronic, Dance, Electronica, House",2
63,Macklemore Feat. Ziggy Stardust,And We Danced,Hip Hop,"Hip-Hop/Rap, Music",2
64,Rudimental Feat. Ella Eyre,Waiting All Night, Dance, Dance,2
